Comment,ClusterName,Signal,id,relevant,sentiment,favorite,tags
none,off-topic,0.0479100306,0,true,Positive,"",""
color,off-topic,0.0040295555,1,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,2,true,Positive,"",""
same,off-topic,0.0,3,true,Negative,"",""
I just use salt water,"water, salt, just, sore",0.0825184221,4,true,Negative,"",""
it is kind of cheesy,off-topic,0.2155183914,5,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,6,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,7,true,Positive,"",""
saltwater remedy,off-topic,0.0987953899,8,true,Negative,"",""
don't know,"know, everything, anything, dont",0.1644828487,9,true,Neutral,"",""
don't know,"know, everything, anything, dont",0.1644828487,10,true,Neutral,"",""
you could use salt water,"water, salt, just, sore",0.0639184949,11,true,Negative,"",""
too much trouble to use when a cough drop or throat logenze would be easier to use,off-topic,0.3878998573,12,true,Negative,"",""
fizzy,off-topic,0.0830967305,13,true,Negative,"",""
product in search of a use,off-topic,0.0976226679,14,true,Negative,"",""
It's simple solution that I've been using for 70 years in it's simplest form  - a box of salt.,off-topic,0.2659837758,15,true,Negative,"",""
na,off-topic,0.0261857653,16,true,Positive,"",""
minty taste,off-topic,0.107314369,17,true,Negative,"",""
Price,"price, high, lots, market",0.0646479107,18,true,Negative,"",""
"honey, zinc",off-topic,0.0680090797,19,true,Negative,"",""
Boring,off-topic,0.1320117688,20,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,21,true,Positive,"",""
ditto,off-topic,0.0290906463,22,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,23,true,Positive,"",""
unsure,off-topic,0.1259780337,24,true,Neutral,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,25,true,Positive,"",""
anyone can come up with something to gargle from around the house when you have a sore throat,off-topic,0.5529076455,26,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,27,true,Positive,"",""
all of it,off-topic,0.0,28,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,29,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,30,true,Positive,"",""
tablet packaged in a tube,off-topic,0.0541871593,31,true,Negative,"",""
the ucky green color on the package suggests infected mucous,off-topic,0.0301397916,32,true,Negative,"",""
Nothing,"nothing, absolutely, new, like",0.1889822365,33,true,Positive,"",""
You can use salt water so this is just an alternative.,"know, everything, anything, dont",0.3298868478,34,true,Negative,"",""
Nothing,"nothing, absolutely, new, like",0.1889822365,35,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,36,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,37,true,Positive,"",""
the active ingredients - they've been used for centuries,off-topic,0.0600700951,38,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,39,true,Positive,"",""
nothing sounds like something I would buy,off-topic,0.4095667907,40,true,Positive,"",""
packing,off-topic,0.0645166841,41,true,Negative,"",""
tablet,off-topic,0.0408597285,42,true,Negative,"",""
zzzzzzzzzzzzzzzzzzzzz,off-topic,0.0,43,true,Negative,"",""
Nothing,"nothing, absolutely, new, like",0.1889822365,44,true,Positive,"",""
Gargling is a very old-fashioned treatment.,off-topic,0.0168452779,45,true,Negative,"",""
"Unless you're in a hurry, you could easily make a better solution yourself for less money.",off-topic,0.4088250968,46,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,47,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,48,true,Positive,"",""
none,off-topic,0.0479100306,49,true,Positive,"",""
the ingredients sound interesting.,off-topic,0.0864129103,50,true,Negative,"",""
The packaging.,off-topic,0.0614121905,51,true,Negative,"",""
can do the same thing yourself,"know, everything, anything, dont",0.2332058071,52,true,Negative,"",""
The price,"price, high, lots, market",0.0914259521,53,true,Negative,"",""
Nothing.,"nothing, absolutely, new, like",0.1889822365,54,true,Positive,"",""
"Nothing, price is too high.","price, high, lots, market",0.1644699251,55,true,Negative,"",""
na,off-topic,0.0261857653,56,true,Positive,"",""
none,off-topic,0.0479100306,57,true,Positive,"",""
nothing..,"nothing, absolutely, new, like",0.1889822365,58,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,59,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,60,true,Positive,"",""
price,"price, high, lots, market",0.0646479107,61,true,Negative,"",""
Let dissolve and gargle away the irritation,"know, everything, anything, dont",0.3416761676,62,true,Negative,"",""
none,off-topic,0.0479100306,63,true,Positive,"",""
the color,off-topic,0.0040295555,64,true,Negative,"",""
the packaging,off-topic,0.0434249764,65,true,Negative,"",""
Package is not inviting,off-topic,0.0493554209,66,true,Negative,"",""
"Gargling is ""old school""",off-topic,0.0,67,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,68,true,Positive,"",""
nothihg,off-topic,0.0,69,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,70,true,Positive,"",""
I don't get many sore throats so it isn't very appealing to me.,off-topic,0.4037343439,71,true,Negative,"",""
who cares,off-topic,0.1424894962,72,true,Negative,"",""
still just salt water,"water, salt, just, sore",0.0738067205,73,true,Negative,"",""
waste of money,"price, high, lots, market",0.1373553137,74,true,Negative,"",""
EVERYTHING,"know, everything, anything, dont",0.1792317204,75,true,Negative,"",""
The name,off-topic,0.0,76,true,Negative,"",""
na,off-topic,0.0261857653,77,true,Positive,"",""
tablet style product,off-topic,0.0523273242,78,true,Negative,"",""
do not know,"know, everything, anything, dont",0.1644828487,79,true,Neutral,"",""
The name isnt very appealing,off-topic,0.2467607536,80,true,Negative,"",""
Gargling is an old concept but the added ingredients make it different.,off-topic,0.2828423867,81,true,Mixed,"",""
Gargles are nothing new.,"nothing, absolutely, new, like",0.3273268354,82,true,Negative,"",""
price,"price, high, lots, market",0.0646479107,83,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,84,true,Positive,"",""
gargle away irritation,off-topic,0.1864493214,85,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,86,true,Positive,"",""
N/A,off-topic,0.0,87,true,Positive,"",""
There are many ways to soothe a sore throat and this way looks somewhat unpleasant.,off-topic,0.3797510694,88,true,Negative,"",""
"I gargle often , new method of gargling to me.",off-topic,0.1817103516,89,true,Positive,"",""
have to wait for it to disolve,"know, everything, anything, dont",0.2296445198,90,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,91,true,Positive,"",""
"""Updated by a nurse?""  What does that mean?",off-topic,0.122365847,92,true,Negative,"",""
Nothing,"nothing, absolutely, new, like",0.1889822365,93,true,Positive,"",""
that you have to gargle,off-topic,0.0,94,true,Negative,"",""
It is a gargle product,off-topic,0.0741273007,95,true,Negative,"",""
who gargles anymore?,"know, everything, anything, dont",0.202202411,96,true,Negative,"",""
price,"price, high, lots, market",0.0646479107,97,true,Negative,"",""
idea of gargling for a sore throat,off-topic,0.2444042903,98,true,Negative,"",""
using salt water to gargle with,"water, salt, just, sore",0.1030557221,99,true,Negative,"",""
Nothing,"nothing, absolutely, new, like",0.1889822365,100,true,Positive,"",""
It's an expensive way around doing this yourself...,off-topic,0.1356853331,101,true,Negative,"",""
It is a just a different take on sucking on a lozenge for a sore throat.,off-topic,0.4050443882,102,true,Negative,"",""
none,off-topic,0.0479100306,103,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,104,true,Positive,"",""
The price!,"price, high, lots, market",0.0914259521,105,true,Negative,"",""
gargle,off-topic,0.0,106,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,107,true,Positive,"",""
works after gargling,off-topic,0.024304937,108,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,109,true,Positive,"",""
no,off-topic,0.0,110,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,111,true,Positive,"",""
A salt water gargle -- you could make one at home.,"water, salt, just, sore",0.1791402039,112,true,Negative,"",""
It's expensive salt!  One just needs to use salt.,off-topic,0.2196237891,113,true,Negative,"",""
More expensive than whiskey,off-topic,0.1604096564,114,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,115,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,116,true,Positive,"",""
Package labeling,off-topic,0.0458603714,117,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,118,true,Positive,"",""
If it taste bad,off-topic,0.230232497,119,true,Neutral,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,120,true,Positive,"",""
don't know,"know, everything, anything, dont",0.1644828487,121,true,Neutral,"",""
none,off-topic,0.0479100306,122,true,Positive,"",""
It's a sore throat gargle.,off-topic,0.046146727,123,true,Negative,"",""
none,off-topic,0.0479100306,124,true,Positive,"",""
no basis of fact,off-topic,0.1467125894,125,true,Negative,"",""
saltwater remedy,off-topic,0.0987953899,126,true,Negative,"",""
no idea,off-topic,0.1220775976,127,true,Positive,"",""
n,off-topic,0.0,128,true,Positive,"",""
Nothing really,"nothing, absolutely, new, like",0.1889822365,129,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,130,true,Positive,"",""
don't like it,off-topic,0.0,131,true,Negative,"",""
garlging,off-topic,0.0,132,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,133,true,Positive,"",""
price,"price, high, lots, market",0.0646479107,134,true,Negative,"",""
nothing at all,"nothing, absolutely, new, like",0.1889822365,135,true,Positive,"",""
it is innovative,off-topic,0.0056820688,136,true,Positive,"",""
GARGLE AWAY THE IRRITATION,off-topic,0.2152931318,137,true,Negative,"",""
That it is basically a salt water gargle.,"water, salt, just, sore",0.0882148773,138,true,Negative,"",""
fizzy  gargle with mity taste,off-topic,0.1508680527,139,true,Negative,"",""
sounds gross,off-topic,0.0612712999,140,true,Negative,"",""
updated by a nurse.,off-topic,0.0453318781,141,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,142,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,143,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,144,true,Positive,"",""
its just salt water,"water, salt, just, sore",0.0639184949,145,true,Negative,"",""
Nothing,"nothing, absolutely, new, like",0.1889822365,146,true,Positive,"",""
Nothing,"nothing, absolutely, new, like",0.1889822365,147,true,Positive,"",""
its an old remedy brought up to date in convenient packaging,off-topic,0.0860545662,148,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,149,true,Positive,"",""
garge on the go?,off-topic,0.2160506653,150,true,Negative,"",""
that this is something you have to dissolve as opposed to a syrup you can drink,off-topic,0.3799118405,151,true,Negative,"",""
"minty taste, but it is fine with me",off-topic,0.0681536281,152,true,Mixed,"",""
Probably tastes really gross,off-topic,0.1116006527,153,true,Negative,"",""
completely irrelevant to me,off-topic,0.1610933195,154,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,155,true,Positive,"",""
Nothing,"nothing, absolutely, new, like",0.1889822365,156,true,Positive,"",""
n/a,off-topic,0.0,157,true,Positive,"",""
no input for this question,off-topic,0.0973243889,158,true,Neutral,"",""
n/a,off-topic,0.0,159,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,160,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,161,true,Positive,"",""
Gargling,off-topic,0.0,162,true,Negative,"",""
saltwater remedy,off-topic,0.0987953899,163,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,164,true,Positive,"",""
none,off-topic,0.0479100306,165,true,Positive,"",""
none,off-topic,0.0479100306,166,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,167,true,Positive,"",""
none,off-topic,0.0479100306,168,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,169,true,Positive,"",""
n/a,off-topic,0.0,170,true,Positive,"",""
?,off-topic,0.0,171,"","","",""
Absolutely nothing,"nothing, absolutely, new, like",0.2457528936,172,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,173,true,Positive,"",""
na,off-topic,0.0261857653,174,true,Positive,"",""
Nothing,"nothing, absolutely, new, like",0.1889822365,175,true,Positive,"",""
same as other products,off-topic,0.0313898382,176,true,Negative,"",""
packaging,off-topic,0.0434249764,177,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,178,true,Positive,"",""
?,off-topic,0.0,179,"","","",""
Saltwater,off-topic,0.0238444663,180,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,181,true,Positive,"",""
That it comes in a dissolvable tablet. Could it also come in a powder?,off-topic,0.5009360929,182,true,Negative,"",""
dont know,"know, everything, anything, dont",0.232213976,183,true,Neutral,"",""
"excess packaging, same as gargling with salt water","water, salt, just, sore",0.0902348328,184,true,Negative,"",""
"nothing, sounds very new",off-topic,0.137106802,185,true,Positive,"",""
It's probably fine. but salt water worke just as well and it's a lot chapear,"water, salt, just, sore",0.1937132278,186,true,Negative,"",""
??,off-topic,0.0,187,"","","",""
price,"price, high, lots, market",0.0646479107,188,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,189,true,Positive,"",""
It's something I don't need,off-topic,0.3427416323,190,true,Negative,"",""
huh???,off-topic,0.0425163655,191,"","","",""
a,off-topic,0.0,192,"","","",""
nothing,"nothing, absolutely, new, like",0.1889822365,193,true,Positive,"",""
everything,"know, everything, anything, dont",0.1792317204,194,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,195,true,Positive,"",""
a gargle is a gargle,off-topic,0.0,196,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,197,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,198,true,Positive,"",""
not sure,off-topic,0.1720830925,199,true,Neutral,"",""
The concept has been around for ages.,off-topic,0.0437782906,200,true,Negative,"",""
a bit priceyi would use salt and water,"water, salt, just, sore",0.1007210716,201,true,Negative,"",""
fizzy - like alka seltzer,off-topic,0.0540566451,202,true,Negative,"",""
dont know,"know, everything, anything, dont",0.232213976,203,true,Neutral,"",""
none,off-topic,0.0479100306,204,true,Positive,"",""
norhing,off-topic,0.0,205,true,Positive,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,206,true,Positive,"",""
Nothing,"nothing, absolutely, new, like",0.1889822365,207,true,Positive,"",""
??,off-topic,0.0,208,"","","",""
NA.,off-topic,0.0261857653,209,true,Positive,"",""
Nothing,"nothing, absolutely, new, like",0.1889822365,210,true,Positive,"",""
"""Updated by a nurse""",off-topic,0.0453318781,211,true,Negative,"",""
I'm not sure it's any better than plain salt water,"water, salt, just, sore",0.1569918296,212,true,Negative,"",""
Updated by a nurse,off-topic,0.0453318781,213,true,Negative,"",""
na,off-topic,0.0261857653,214,true,Positive,"",""
If it works this would be great,off-topic,0.0297673469,215,true,Neutral,"",""
same answer,off-topic,0.0795758367,216,"","","",""
to costly,off-topic,0.069058302,217,true,Negative,"",""
mint,off-topic,0.0235770001,218,true,Negative,"",""
non for now,off-topic,0.0233139132,219,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,220,true,Positive,"",""
don't know,"know, everything, anything, dont",0.1644828487,221,true,Neutral,"",""
fizzy tablets,off-topic,0.0572058599,222,true,Negative,"",""
mom was right,off-topic,0.077953665,223,true,Negative,"",""
a little pricey,off-topic,0.1724940866,224,true,Negative,"",""
nothing,"nothing, absolutely, new, like",0.1889822365,225,true,Positive,"",""
